,user,text,favorite_count,retweet_count,created_at
45,FutSheriff,"🚨For what🇸🇳 is coming as For What during Bundesliga TOTS

For what✍🏻

For what?

Make sure to for what @FutSheriff and @Criminal__x !

#forwhat? https://t.co/Kcl0yJXagi",7114,105,2023-05-10 19:02:43+00:00
46,FutSheriff,show me this guarantee EPL pack!,1920,11,2023-05-10 17:33:27+00:00
47,FutSheriff,"He seems to be now in PACKS and not as SBC anymore.

#fifa23 https://t.co/SiZMNWnG0e",4004,51,2023-05-10 17:26:59+00:00
48,FutSheriff,forza milan,1553,101,2023-05-10 15:58:43+00:00
49,FutSheriff,@SnikOw_1 plays for a L club,99,0,2023-05-10 15:20:33+00:00
50,FutSheriff,"Valverde
Tchouameni
Jude
Kroos
Modric

🥶 https://t.co/WHR4M5HtCx",2045,47,2023-05-10 15:20:03+00:00
51,FutSheriff,@NepentheZ legend🔥❤️,59,1,2023-05-10 15:15:33+00:00
52,FutSheriff,@TheVieiraGuy @Sorare @AurelRiviere @ni2las your journey is only starting bro... better times are coming for you😘,3,0,2023-05-10 13:43:54+00:00
53,FutSheriff,@AurelRiviere @Sorare 😍😍😍,12,0,2023-05-10 13:42:58+00:00
54,FutSheriff,"Only @Sorare makes your dreams come true...

Hope you enjoyed mate! @AurelRiviere &lt;3

Thanks for @ni2las and all @Sorare team &lt;3

https://t.co/NVxxszYdnL

#sorare https://t.co/KbI6colBfD",139,4,2023-05-10 13:42:39+00:00
55,FutSheriff,"Winners are 
@Noel_skelland 
@dnsoad 
@IPlayBattleRoy1 

congrats!!

1m each!!!

please dm @FUTCoinShop  to redeem it! https://t.co/B5gZymcU5m https://t.co/eMY5ObZmXQ",128,3,2023-05-10 13:26:05+00:00
56,FutSheriff,So...? https://t.co/Ig1uAFn8cY,2409,16,2023-05-10 12:39:04+00:00
57,FutSheriff,"🚨Goretzka is coming as TOTS MOMENTS!

Stats are prediction ✍🏻

Make sure to follow @FutSheriff and @Criminal__x 

#fifa23 https://t.co/Xo9ZSJ8flv",6032,109,2023-05-09 23:09:34+00:00
58,FutSheriff,"@ThisIsFG_ bro lost some pounds

W king",77,2,2023-05-09 21:36:14+00:00
59,FutSheriff,"@DannyAaronsFUT warra trophy for spurs

(waiting for leao and r9 mid ratio)",649,6,2023-05-09 21:10:46+00:00
60,FutSheriff,OOOOOOOO KEVIN DE BRUYNEEEEE,1693,45,2023-05-09 20:27:46+00:00
61,FutSheriff,"apologizes on Leao

he is POTM SBC🇵🇹

and TOTS Serie A

5min of happiness 😅",6536,51,2023-05-09 20:05:32+00:00
62,FutSheriff,ucl and real madrid…. cant believe,1016,15,2023-05-09 19:56:08+00:00
63,FutSheriff,"Got this as my rewards for this week.

Any Brentford fans can give me some infos about him?

if he should stay etc etc
#sorare https://t.co/BXUXqsVrlu",220,5,2023-05-09 18:15:57+00:00
64,FutSheriff,@NickRTFM @InceptionXx @NepentheZ @DannyAaronsFUT @Sonny7 @SpursOfficial @AuzioMF 🤣🤣,97,1,2023-05-09 17:55:08+00:00
65,FutSheriff,@dgoficial happy bday king!,25,0,2023-05-09 14:48:45+00:00
66,FutSheriff,"real vs city predictions?

0-2 city imo

gundogan and kdb",820,15,2023-05-09 14:35:03+00:00
67,FutSheriff,"🚨Reus is coming as SBC during TOTS Bundesliga!

Stats are prediction 

Make sure to follow @FutSheriff &amp; @Criminal__x 

#fifa23 https://t.co/cLzOK3q2zW",9045,252,2023-05-09 13:35:15+00:00
68,FutSheriff,"@Jake_FutTrading @Criminal__x EA FC 24 RUMOR:

Nkunku will have a balloon in his head",858,0,2023-05-09 13:23:21+00:00
69,FutSheriff,"🚨Nkunku is added to come as SBC during TOTS Bundesliga!

Stats are predicted!

Make sure to follow @FutSheriff  and @Criminal__x 

#fifa23 https://t.co/zaiqqUOiPs",13157,228,2023-05-09 13:18:53+00:00
70,FutSheriff,check dm's &lt;3 https://t.co/4Uolf7984Q,166,10,2023-05-09 12:08:06+00:00
71,FutSheriff,@ThisIsFG_ fraud,33,0,2023-05-08 23:41:09+00:00
72,FutSheriff,@TinchoLang amazing player. very excited to see if he will keep this performances!,2,0,2023-05-08 22:07:57+00:00
73,FutSheriff,"still need to pick the winner of this, will be doing in some hours! https://t.co/efDtKekady",316,36,2023-05-08 22:02:17+00:00
74,FutSheriff,"Join now.

Make coins now.

https://t.co/1Kh5QHfTlI

@MitchTrading @ImADuckQuackk https://t.co/whLHHTJntR",257,7,2023-05-08 22:00:43+00:00
75,FutSheriff,show me this 81+ x11 PL upgrade lads,2928,23,2023-05-08 17:19:54+00:00
76,FutSheriff,@EllisMartin W,1,0,2023-05-08 16:37:02+00:00
77,FutSheriff,"Looking for a T3 here

You guys got any rewards?
#sorare https://t.co/AeDd2Sm659",157,1,2023-05-08 16:19:01+00:00
78,FutSheriff,@Jake_FutTrading confirmed ✅,360,2,2023-05-08 12:47:27+00:00
